fecha,location,parameter,so2,unit,country,city,date.utc,lat,lon
2022-06-09 14:00:00,Concón MMA,pm25,30.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 15:00:00+00:00,-32.926243316067,-71.512461304664
2022-06-09 14:00:00,Concón,so2,17.64,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 15:00:00+00:00,-32.924568,-71.515399
2022-06-09 14:00:00,Concón,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 15:00:00+00:00,-32.924568,-71.515399
2022-06-09 13:00:00,Concón,pm10,34.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.924568,-71.515399
2022-06-09 13:00:00,Concón,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.924568,-71.515399
2022-06-09 13:00:00,Concón,so2,16.89,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.924568,-71.515399
2022-06-09 13:00:00,Las Gaviotas,so2,21.17,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.915458,-71.48148
2022-06-09 13:00:00,Concón MMA,pm25,29.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.926243316067,-71.512461304664
2022-06-09 13:00:00,Junta de Vecinos,so2,20.93,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.935167,-71.52577
2022-06-09 13:00:00,Colmo,so2,26.25,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 14:00:00+00:00,-32.929552,-71.440571
2022-06-09 12:00:00,Concón,pm10,34.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.924568,-71.515399
2022-06-09 12:00:00,Concón MMA,pm25,29.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.926243316067,-71.512461304664
2022-06-09 12:00:00,Colmo,so2,19.43,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.929552,-71.440571
2022-06-09 12:00:00,Concón,so2,15.68,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.924568,-71.515399
2022-06-09 12:00:00,Junta de Vecinos,so2,20.57,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.935167,-71.52577
2022-06-09 12:00:00,Las Gaviotas,so2,20.57,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.915458,-71.48148
2022-06-09 12:00:00,Concón,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 13:00:00+00:00,-32.924568,-71.515399
2022-06-09 11:00:00,Colmo,so2,24.29,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.929552,-71.440571
2022-06-09 11:00:00,Concón MMA,pm25,29.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.926243316067,-71.512461304664
2022-06-09 11:00:00,Concón,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.924568,-71.515399
2022-06-09 11:00:00,Las Gaviotas,so2,20.53,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.915458,-71.48148
2022-06-09 11:00:00,Junta de Vecinos,so2,20.7,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.935167,-71.52577
2022-06-09 11:00:00,Concón,pm10,35.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.924568,-71.515399
2022-06-09 11:00:00,Concón,so2,15.83,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 12:00:00+00:00,-32.924568,-71.515399
2022-06-09 10:00:00,Junta de Vecinos,so2,20.47,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.935167,-71.52577
2022-06-09 10:00:00,Las Gaviotas,so2,20.38,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.915458,-71.48148
2022-06-09 10:00:00,Concón MMA,pm25,29.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.926243316067,-71.512461304664
2022-06-09 10:00:00,Concón,pm10,36.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.924568,-71.515399
2022-06-09 10:00:00,Concón,so2,16.09,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.924568,-71.515399
2022-06-09 10:00:00,Concón,pm25,23.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.924568,-71.515399
2022-06-09 10:00:00,Colmo,so2,22.8,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 11:00:00+00:00,-32.929552,-71.440571
2022-06-09 09:00:00,Concón MMA,pm25,29.0,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 10:00:00+00:00,-32.926243316067,-71.512461304664
2022-06-09 09:00:00,Las Gaviotas,so2,20.26,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 10:00:00+00:00,-32.915458,-71.48148
2022-06-09 09:00:00,Concón,so2,15.7,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 10:00:00+00:00,-32.924568,-71.515399
2022-06-09 09:00:00,Junta de Vecinos,so2,20.39,b'\xc2\xb5g/m\xc2\xb3',CL,Concón,2022-06-09 10:00:00+00:00,-32.935167,-71.52577
